id,name,is_active
1,ACEITES,t
2,FILTROS,t
3,BUJIAS,t
4,FRENOS,t
5,SUSPENSION,t
6,ELECTRICO,t
7,ARTICULOS,t
8,PERNOS,t
9,RETENES,t
10,REPUESTOS DE AUTOS,t
11,ACCESORIOS DE FERRETERIA,t
12,REPUESTOS DE MOTOS,t
13,ACCESORIOS AUTOMOTRICES,t
14,FAJAS,t
15,ACCESORIOS DE MOTOS,t
16,GRASAS Y LUBRICANTES,t
17,LUBRICANTES,t
18,LLANTAS,t
19,RODAMIENTOS,t
20,FILTROS AUTOMOTRIZ,t
21,BATERIAS,t
22,CATALINAS Y CADENAS,t
23,EMPAQUES,t
24,MANGUERAS,t
